Name,WMC,LCOM,DIT,CBO,RFC,LCAM,LOC,IsBuggy
PDCaretAppearanceHandler_2.0.27,7,0.0,1.0,10.0,86.0,0.467,47,1
PDCircleAppearanceHandler_2.0.27,12,0.0,1.0,14.0,122.0,0.5,65,0
PDFileAttachmentAppearanceHandler_2.0.27,7,0.0,1.0,7.0,69.0,0.583,57,0
PDFreeTextAppearanceHandler_2.0.27,64,0.333,1.0,34.0,155.0,0.571,245,1
PDHighlightAppearanceHandler_2.0.27,25,0.0,1.0,16.0,95.0,0.467,118,0
PDInkAppearanceHandler_2.0.27,16,0.0,1.0,8.0,90.0,0.467,62,0
PDLineAppearanceHandler_2.0.27,30,0.0,1.0,10.0,111.0,0.467,146,1
PDLinkAppearanceHandler_2.0.27,20,0.0,1.0,12.0,85.0,0.5,76,0
PDPolygonAppearanceHandler_2.0.27,25,0.0,1.0,13.0,109.0,0.607,95,0
PDPolylineAppearanceHandler_2.0.27,29,0.0,1.0,14.0,95.0,0.5,110,0
PDSoundAppearanceHandler_2.0.27,5,0.0,1.0,2.0,5.0,0.467,11,0
PDSquareAppearanceHandler_2.0.27,12,0.0,1.0,14.0,114.0,0.5,52,0
PDSquigglyAppearanceHandler_2.0.27,13,0.0,1.0,18.0,110.0,0.467,88,0
PDStrikeoutAppearanceHandler_2.0.27,16,0.0,1.0,8.0,90.0,0.467,71,0
PDTextAppearanceHandler_2.0.27,43,0.0,1.0,14.0,135.0,0.553,468,1
PDUnderlineAppearanceHandler_2.0.27,16,0.0,1.0,8.0,90.0,0.467,71,0
PDAcroForm_2.0.27,45,0.816,0.0,22.0,95.0,0.864,238,1
PDNonTerminalField_2.0.27,16,0.0,1.0,7.0,23.0,0.704,76,0
PDRadioButton_2.0.27,7,0.0,3.0,6.0,21.0,0.6,32,0
PDSignatureField_2.0.27,21,0.0,2.0,11.0,48.0,0.712,69,0
PDTerminalField_2.0.27,16,0.0,1.0,8.0,37.0,0.722,71,0
StreamValidationProcess_2.0.27,35,0.0,1.0,15.0,23.0,0.3,171,1
PDFPrintable_2.0.27,14,0.929,0.0,6.0,36.0,0.543,107,0
PDFRenderer_2.0.27,27,0.932,0.0,15.0,44.0,0.825,224,0
PageDrawer_2.0.27,136,0.969,2.0,41.0,163.0,0.898,993,1
Encrypt_2.0.27,2,0.0,0.0,0.0,2.0,0.0,110,0
PDFSplit_2.0.27,2,0.0,0.0,0.0,2.0,0.0,109,0
TextToPDF_2.0.27,10,0.969,0.0,3.0,9.0,0.711,213,0
Matrix_2.0.27,59,0.654,0.0,5.0,47.0,0.803,251,0
CFFCIDFont_2.0.28,18,0.762,1.0,4.0,10.0,0.417,89,1
CFFParser_2.0.28,86,0.0,0.0,14.0,47.0,0.67,810,0
Type1CharString_2.0.28,9,0.867,0.0,3.0,4.0,0.375,221,0
Type1FontUtil_2.0.28,9,0.0,0.0,0.0,7.0,0.19,49,0
Type2CharString_2.0.28,7,1.125,1.0,1.0,3.0,0.0,203,0
CmapSubtable_2.0.28,101,0.837,0.0,3.0,34.0,0.395,334,0
GlyfCompositeDescript_2.0.28,40,0.75,1.0,6.0,46.0,0.596,128,0
GlyphRenderer_2.0.28,7,0.0,0.0,3.0,9.0,0.5,86,1
GlyphSubstitutionTable_2.0.28,47,0.667,1.0,3.0,22.0,0.602,388,1
NamingTable_2.0.28,19,0.0,1.0,4.0,13.0,0.167,114,1
TTFSubsetter_2.0.28,94,0.84,0.0,15.0,108.0,0.755,561,1
Type1Font_2.0.28,20,0.992,0.0,4.0,47.0,0.425,154,0
ShadingFill_2.0.28,0,0.0,2.0,0.0,0.0,0.0,12,1
OSXAdapter_2.0.28,7,0.0,0.0,0.0,2.0,0.25,134,0
LZWFilter_2.0.28,5,0.0,1.0,1.0,1.0,0.0,121,0
ScratchFile_2.0.28,62,0.768,0.0,4.0,23.0,0.7,186,0
ScratchFileBuffer_2.0.28,51,0.575,0.0,1.0,31.0,0.735,191,0
LayerUtility_2.0.28,15,0.75,0.0,18.0,80.0,0.458,126,1
Overlay_2.0.28,68,0.878,0.0,12.0,84.0,0.754,313,1
PDFMergerUtility_2.0.28,194,0.882,0.0,40.0,200.0,0.882,680,1
BaseParser_2.0.28,196,0.942,0.0,15.0,59.0,0.818,573,1
COSParser_2.0.28,340,0.939,1.0,24.0,173.0,0.854,1327,1
PDFStreamParser_2.0.28,41,1.0,1.0,8.0,20.0,0.75,199,1
COSWriter_2.0.28,106,0.987,0.0,24.0,85.0,0.836,610,1
ContentStreamWriter_2.0.28,17,0.5,0.0,8.0,10.0,0.333,81,1
PDAbstractContentStream_2.0.28,174,0.783,0.0,23.0,132.0,0.892,510,0
PDDocument_2.0.28,96,0.911,0.0,35.0,157.0,0.907,510,1
PDPage_2.0.28,60,0.781,0.0,17.0,67.0,0.86,260,0
PDPageContentStream_2.0.28,256,0.807,0.0,29.0,194.0,0.913,790,0
PDResources_2.0.28,102,0.429,0.0,16.0,79.0,0.853,263,0
FDFField_2.0.28,32,0.0,0.0,11.0,32.0,0.85,274,0
PDFont_2.0.28,64,0.823,0.0,13.0,77.0,0.725,227,1
PDICCBased_2.0.28,63,0.85,2.0,14.0,68.0,0.811,264,1
PDImageXObject_2.0.28,53,0.833,1.0,16.0,91.0,0.871,392,0
SampledImageReader_2.0.28,13,0.0,0.0,5.0,14.0,0.25,381,1
PDAnnotation_2.0.28,87,0.943,0.0,29.0,76.0,0.886,235,0
PDFileAttachmentAppearanceHandler_2.0.28,8,0.0,1.0,7.0,69.0,0.583,59,1
AppearanceGeneratorHelper_2.0.28,73,0.895,0.0,30.0,158.0,0.774,433,1
PDAcroForm_2.0.28,45,0.816,0.0,22.0,95.0,0.864,240,0
PDChoice_2.0.28,13,0.889,3.0,5.0,26.0,0.662,122,1
PageDrawer_2.0.28,134,0.969,2.0,41.0,162.0,0.898,985,1
TTFGlyph2D_2.0.28,8,0.905,0.0,8.0,21.0,0.686,63,1
PDFTextStripper_2.0.28,153,0.971,2.0,9.0,168.0,0.844,716,1
TextPosition_2.0.28,83,0.928,0.0,3.0,42.0,0.694,324,1
PDFText2HTML_2.0.28,8,1.0,3.0,1.0,10.0,0.524,155,1
TextToPDF_2.0.28,10,0.969,0.0,3.0,9.0,0.711,230,1
PdfaExtensionHelper_2.0.28,40,0.0,0.0,19.0,16.0,0.667,144,1
CMapParser_2.0.29,20,0.0,0.0,0.0,6.0,0.458,396,0
TrueTypeFont_2.0.29,21,0.889,0.0,0.0,11.0,0.576,239,1
Type1Parser_2.0.29,93,0.75,0.0,0.0,12.0,0.444,451,1
PDFStreamEngine_2.0.29,21,0.75,0.0,0.0,14.0,0.571,390,1
PDFDebugger_2.0.29,17,1.0,0.0,0.0,10.0,0.45,815,0
CSDeviceN_2.0.29,0,0.0,0.0,0.0,0.0,0.0,40,1
CreateRadioButtons_2.0.29,1,0.0,0.0,0.0,1.0,0.0,86,1
CreatePDFA_2.0.29,1,0.0,0.0,0.0,1.0,0.0,51,0
OpaquePDFRenderer_2.0.29,0,0.0,0.0,0.0,0.0,0.0,71,1
CustomPageDrawer_2.0.29,0,0.0,0.0,0.0,0.0,0.0,64,1
SigUtils_2.0.29,1,0.0,0.0,0.0,1.0,0.0,159,1
CertificateVerifier_2.0.29,1,0.0,0.0,0.0,1.0,0.0,201,0
CertInformationHelper_2.0.29,1,0.0,0.0,0.0,1.0,0.0,54,0
PDFMergerExample_2.0.29,0,0.0,0.0,0.0,0.0,0.0,70,0
RunLengthDecodeFilter_2.0.29,0,0.0,0.0,0.0,0.0,0.0,86,0
BaseParser_2.0.29,65,0.947,0.0,0.0,25.0,0.688,575,1
InputStreamSource_2.0.29,17,0.563,0.0,0.0,12.0,0.444,70,1
PDFStreamParser_2.0.29,7,0.0,0.0,0.0,5.0,0.533,209,1
PDFXrefStreamParser_2.0.29,11,0.0,0.0,0.0,4.0,0.444,103,1
RandomAccessSource_2.0.29,12,0.0,0.0,0.0,12.0,0.444,42,1
SequentialSource_2.0.29,11,0.0,1.0,0.0,11.0,0.424,12,1
PDFunction_2.0.29,16,1.0,0.0,0.0,7.0,0.214,110,1
PDEncryption_2.0.29,31,0.0,0.0,0.0,24.0,0.528,155,0
PDCIDFont_2.0.29,43,0.889,0.0,0.0,12.0,0.208,180,1
